Company_Name,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
Aptech Limited,55.04611,4.2607627,3.26,0.1455187390610315,0.0520307211637942
Aptus Value Housing Finance India Limited,23.182156,3.872522,154.359,0.17879999,0.07439
Archidply Industries Limited,65.54656602500884,2.1874497,132.932,0.1455187390610315,0.0520307211637942
Archies Limited,65.54656602500884,0.8708821,56.669,0.1455187390610315,0.0520307211637942
Amara Raja Energy & Mobility Limited,21.756153,2.9403687,4.647,0.152,0.08685
Rajdarshan Industries Limited,17.297058,0.76232076,89.8259119818285,0.04601,-0.00389
Aries Agro Limited,14.115755,1.5349725,27.793,0.1455187390610315,0.0520307211637942
Arihant Capital Markets Limited,12.829487,2.8100078,53.667,0.25595,0.095790006
Arihant Superstructures Limited,30.697996,9.159519,174.597,0.16935,0.04547
,21.296732,7.6574545,22.009,0.1455187390610315,0.0520307211637942
Arman Financial Services Limited,8.338414,1.551369,212.25,0.1455187390610315,0.0520307211637942
Aro Granite Industries Limited,65.54656602500884,0.36675537,98.293,0.1455187390610315,0.0520307211637942
Arrow Greentech Limited,22.10283,7.247062,0.596,0.38489,0.28035998
Arshiya Limited,65.54656602500884,7.785872018563158,89.8259119818285,0.1455187390610315,-0.02497
ARSS Infrastructure Projects Limited,65.54656602500884,7.785872018563158,89.8259119818285,0.1455187390610315,0.0520307211637942
Art Nirman Limited,111.867935,4.1924763,8.28,0.1455187390610315,0.0520307211637942
Arvee Laboratories (India) Ltd.,84.23672,6.600174,3.435,0.1455187390610315,0.0520307211637942
Arvind Limited,37.657944,3.1127143,43.403,0.086969994,0.05012
Arvind Fashions Limited,98.05762,6.882134,98.689,0.114700004,0.05129
Arvind SmartSpaces Limited,59.81183,7.684736,19.479,0.123900004,0.03723
Asahi India Glass Limited,58.838936,7.383805,95.42,0.13222,0.061
Asahi Songwon Colors Limited,42.07416,1.7514833,72.333,0.02348,0.02537
Automotive Stampings and Assemblies Limited,50.161537,2138.0327,20423.77,0.1455187390610315,0.076290004
Associated Alcohols & Breweries Limited,34.64039,4.396062,20.141,0.13778,0.07755
Ashapura Minechem Limited,16.484598,3.9484553,107.228,0.1455187390610315,0.0520307211637942
Ashiana Housing Limited,106.05179,4.2770634,19.235,0.1455187390610315,0.0520307211637942
Ashima Limited,6.6402326,2.1558654,40.485,0.37839,0.09385
Ashoka Buildcon Limited,8.2446995,3.5401442,224.785,0.1455187390610315,0.0520307211637942
Ashoka Metcast Limited,6.4425774,0.5329379,8.812,0.07926,0.04971
Ashok Leyland Limited,24.517357,6.242765,332.769,0.23315,0.07393
Asian Energy Services Limited,39.053497,5.553443,8.046,0.1455187390610315,0.0520307211637942
Asian Hotels (North) Limited,65.54656602500884,6.2256846,1405.005,0.1455187390610315,0.0520307211637942
Asian Paints Limited,47.781967,12.115929,13.467,0.25827,0.12689
Asian Granito India Limited,65.54656602500884,0.68670136,19.392,0.1455187390610315,0.0520307211637942
,42.079998,10.145952,43.435,0.27049,0.11021
Bartronics India Limited,164.63637,20.816093,89.8259119818285,0.1455187390610315,0.0520307211637942
Aspinwall and Company Limited,18.094513,1.2499841,21.628,0.08728,0.02063
Astec LifeSciences Limited,65.54656602500884,7.2941966,171.539,-0.30148,-0.07639
Aster DM Healthcare Limited,121.997574,7.320954,53.874,0.06988,0.025510002
Astral Limited,87.82653,13.711746,5.738,0.15989,0.09806
Astra Microwave Products Limited,55.250183,7.4870043,24.596,0.1455187390610315,0.0520307211637942
AstraZeneca Pharma India Limited,195.14809,22.676178,0.645,0.1455187390610315,0.0520307211637942
Astron Paper & Board Mill Limited,65.54656602500884,0.6463974,55.964,0.1455187390610315,0.0520307211637942
Atal Realtech Limited,23.333334,2.3351648,24.41,0.1455187390610315,0.0520307211637942
Atam Valves Limited,24.806885,4.790636,41.46,0.1455187390610315,0.0520307211637942
Agro Tech Foods Limited,509.00568,4.551528,2.548,0.008669999,0.00519
Adani Total Gas Limited,104.44618,18.800898,37.268,0.19646999,0.097229995
Allcargo Terminals Limited,21.581007,3.638847,149.903,0.18061,0.053239997
Atlantaa Limited,2.4250853,2.5664995,155.227,0.1455187390610315,0.0520307211637942
Atul Ltd,54.721054,3.691618,3.853,0.07209,0.044749998
Atul Auto Limited,88.90965,3.7728865,33.693,0.1455187390610315,0.0520307211637942
AU Small Finance Bank Limited,21.503523,2.5464122,89.8259119818285,0.1309,0.0155
Aurionpro Solutions Limited,52.85084,6.8162637,2.306,0.16813,0.088970006
Aurobindo Pharma Limited,20.426311,2.3690538,27.286,0.12128,0.06765
Aurum PropTech Limited,65.54656602500884,6.329694,65.051,-0.1927,-0.04754
AuSom Enterprise Limited,11.706214,1.0703032,0.127,0.095010005,0.06264
Automotive Axles Limited,17.504438,2.9909558,3.054,0.18136999,0.09851
