Company_Name,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
Arihant Superstructures Limited,30.697996,9.159519,174.597,16.935,4.547
,21.296732,7.6574545,22.009,14.551873906103149,5.2030721163794205
Arman Financial Services Limited,8.338414,1.551369,212.25,14.551873906103149,5.2030721163794205
Aro Granite Industries Limited,65.54656602500884,0.36675537,98.293,14.551873906103149,5.2030721163794205
Arrow Greentech Limited,22.10283,7.247062,0.596,38.489000000000004,28.035998
Arshiya Limited,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,-2.497
ARSS Infrastructure Projects Limited,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
Art Nirman Limited,111.867935,4.1924763,8.28,14.551873906103149,5.2030721163794205
Arvee Laboratories (India) Ltd.,84.23672,6.600174,3.435,14.551873906103149,5.2030721163794205
Arvind Limited,37.657944,3.1127143,43.403,8.6969994,5.012
Arvind Fashions Limited,98.05762,6.882134,98.689,11.4700004,5.1290000000000004
Arvind SmartSpaces Limited,59.81183,7.684736,19.479,12.3900004,3.723
Asahi India Glass Limited,58.838936,7.383805,95.42,13.222000000000001,6.1
Asahi Songwon Colors Limited,42.07416,1.7514833,72.333,2.348,2.537
Automotive Stampings and Assemblies Limited,50.161537,2138.0327,20423.77,14.551873906103149,7.6290004
Associated Alcohols & Breweries Limited,34.64039,4.396062,20.141,13.778000000000002,7.754999999999999
Ashapura Minechem Limited,16.484598,3.9484553,107.228,14.551873906103149,5.2030721163794205
Ashiana Housing Limited,106.05179,4.2770634,19.235,14.551873906103149,5.2030721163794205
Ashima Limited,6.6402326,2.1558654,40.485,37.839,9.385
Ashoka Buildcon Limited,8.2446995,3.5401442,224.785,14.551873906103149,5.2030721163794205
Ashoka Metcast Limited,6.4425774,0.5329379,8.812,7.926,4.971
Ashok Leyland Limited,24.517357,6.242765,332.769,23.315,7.393
Asian Energy Services Limited,39.053497,5.553443,8.046,14.551873906103149,5.2030721163794205
Asian Hotels (North) Limited,65.54656602500884,6.2256846,1405.005,14.551873906103149,5.2030721163794205
Asian Paints Limited,47.781967,12.115929,13.467,25.826999999999998,12.689
Asian Granito India Limited,65.54656602500884,0.68670136,19.392,14.551873906103149,5.2030721163794205
,42.079998,10.145952,43.435,27.049,11.021
Bartronics India Limited,164.63637,20.816093,89.8259119818285,14.551873906103149,5.2030721163794205
Aspinwall and Company Limited,18.094513,1.2499841,21.628,8.728,2.0629999999999997
Astec LifeSciences Limited,65.54656602500884,7.2941966,171.539,-30.148000000000003,-7.639
Aster DM Healthcare Limited,121.997574,7.320954,53.874,6.9879999999999995,2.5510002
Astral Limited,87.82653,13.711746,5.738,15.989,9.806
Astra Microwave Products Limited,55.250183,7.4870043,24.596,14.551873906103149,5.2030721163794205
AstraZeneca Pharma India Limited,195.14809,22.676178,0.645,14.551873906103149,5.2030721163794205
Astron Paper & Board Mill Limited,65.54656602500884,0.6463974,55.964,14.551873906103149,5.2030721163794205
Atal Realtech Limited,23.333334,2.3351648,24.41,14.551873906103149,5.2030721163794205
Atam Valves Limited,24.806885,4.790636,41.46,14.551873906103149,5.2030721163794205
Agro Tech Foods Limited,509.00568,4.551528,2.548,0.8669998999999999,0.519
Adani Total Gas Limited,104.44618,18.800898,37.268,19.646999,9.7229995
Allcargo Terminals Limited,21.581007,3.638847,149.903,18.061,5.3239997
Atlantaa Limited,2.4250853,2.5664995,155.227,14.551873906103149,5.2030721163794205
Atul Ltd,54.721054,3.691618,3.853,7.2090000000000005,4.4749998
Atul Auto Limited,88.90965,3.7728865,33.693,14.551873906103149,5.2030721163794205
AU Small Finance Bank Limited,21.503523,2.5464122,89.8259119818285,13.089999999999998,1.55
Aurionpro Solutions Limited,52.85084,6.8162637,2.306,16.813,8.8970006
Aurobindo Pharma Limited,20.426311,2.3690538,27.286,12.128,6.765000000000001
Aurum PropTech Limited,65.54656602500884,6.329694,65.051,-19.27,-4.754
AuSom Enterprise Limited,11.706214,1.0703032,0.127,9.5010005,6.264
Automotive Axles Limited,17.504438,2.9909558,3.054,18.136999,9.851
Autoline Industries Limited,21.589596,3.2183478,97.547,14.551873906103149,5.2030721163794205
Avadh Sugar & Energy Limited,12.121562,0.99782366,68.097,8.505,7.221
Avalon Technologies Limited,231.73302,11.604724,35.437,5.2600004,2.9849999
Avantel Limited,65.13389,19.263704,8.772,35.957,22.752
Avanti Feeds Limited,21.368969,3.7760842,0.615,14.551873906103149,5.2030721163794205
AVG Logistics Limited,11.868361,2.5192661,110.255,14.551873906103149,5.2030721163794205
Aditya Vision Limited,67.58666,13.350364,65.467,14.551873906103149,5.2030721163794205
Avonmore Capital & Management Services Limited,12.410257,1.1243613,5.734,14.551873906103149,5.2030721163794205
Avro India Limited,53.809246,6.506832,54.127,14.551873906103149,5.2030721163794205
AVT Natural Products Limited,25.706667,2.5012975,9.073,14.551873906103149,5.2030721163794205
,65.54656602500884,7.785872018563158,291.752,14.551873906103149,5.2030721163794205
Antony Waste Handling Cell Limited,25.426828,3.091897,62.2,14.551873906103149,5.2030721163794205
Adani Wilmar Limited,41.779102,4.5961876,24.148,11.616999999999999,5.013999999999999
Axis Bank Limited,12.0145855,1.9349524,89.8259119818285,17.764999,1.918
AXISCADES Technologies Limited,56.43336,4.2180243,53.894,14.551873906103149,5.2030721163794205
Axita Cotton Limited,16.157145,6.0937505,39.222,14.551873906103149,5.2030721163794205
AYM Syntex Limited,56.658432,3.231773,73.466,5.903,4.1729997999999995
,144.25298,15.572193,6.113,14.551873906103149,5.2030721163794205
Bafna Pharmaceuticals Limited,460.16666,2.4239142,30.17,14.551873906103149,5.2030721163794205
B.A.G. Films and Media Limited,65.54656602500884,1.4124738,51.834,14.551873906103149,5.2030721163794205
Baid Finserv Limited,18.146341,1.0711972,145.016,14.551873906103149,5.2030721163794205
Bajaj Auto Limited,33.373108,7.8901925,16.523,24.445,16.375
Bajaj Consumer Care Limited,20.483904,4.122328,0.923,18.86,9.087
Bajaj Electricals Limited,81.53682,6.0155115,111.453,7.661,1.9019998999999999
Bajaj Finserv Ltd.,29.553875,3.6453173,211.987,16.189999999999998,5.189
Bajaj HealthCare Limited,65.54656602500884,5.6761284,119.566,14.551873906103149,5.2030721163794205
,56.558556,5.5663433,396.32,12.2279994,5.795
Bajaj Hindusthan Sugar Limited,65.54656602500884,0.887152,82.216,-0.49,0.42
Bajaj Holdings & Investment Limited,16.708984,2.067187,0.068,11.8030004,1.476
Bajel Projects Limited,153.77977,5.2605324,2.634,14.551873906103149,5.2030721163794205
Bajaj Finance Limited,27.622593,4.893381,290.321,20.686,4.1450000000000005
,21.243402,2.7969112,116.282,14.551873906103149,5.2030721163794205
Balaji Telefilms Limited,366.69562,1.9860594,18.398,14.551873906103149,5.2030721163794205
Balaji Amines Limited,31.42972,3.6774986,1.04,14.551873906103149,5.2030721163794205
Balaxi Pharmaceuticals Limited,10.780058,1.8607948,9.636,-1.242,11.203000000000001
Balkrishna Paper Mills Limited,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
Balkrishna Industries Limited,33.429264,5.792552,33.214,18.488,8.315
Balmer Lawrie & Co. Ltd.,13.6451,2.039468,6.839,15.049999999999999,5.907000200000001
Bal Pharma Limited,24.26378,2.811267,201.625,14.551873906103149,5.2030721163794205
Balrampur Chini Mills Limited,24.50678,2.979188,17.024,12.902,7.1830004
Balu Forge Industries Limited,62.195896,9.123458,89.8259119818285,20.251,12.2279994
Banaras Beads Limited,27.16421,1.5272171,28.272,5.6939997,3.263
Bannari Amman Sugars Limited,35.158066,2.7174523,28.789,14.551873906103149,5.2030721163794205
Banco Products (India) Limited,20.009352,6.5488863,40.225,14.551873906103149,5.2030721163794205
Bandhan Bank Limited,11.877168,1.1164845,89.8259119818285,12.529000000000002,1.6789999999999998
Bang Overseas Limited,65.54656602500884,1.3263292,30.429,14.551873906103149,5.2030721163794205
Banka BioLoo Limited,65.54656602500884,2.7632444,65.171,14.551873906103149,5.2030721163794205
Bank of Baroda Limited,6.364694,0.9416538,89.8259119818285,16.038,1.2150001000000001
Bank of India Limited,5.8564897,0.63140696,89.8259119818285,11.444,0.839
,60.54483,13.245723,147.709,14.551873906103149,5.2030721163794205
Banswara Syntex Limited,23.022354,0.9803834,84.931,4.35,2.643
Barbeque-Nation Hospitality Limited,65.54656602500884,4.5396247,169.803,14.551873906103149,5.2030721163794205
BASF India Limited,37.622574,7.573479,4.842,14.551873906103149,5.2030721163794205
Bannari Amman Spinning Mills Ltd,65.54656602500884,0.8370409,112.355,14.551873906103149,5.2030721163794205
Bata India Limited,49.21062,11.682342,97.861,24.205999,6.898
Bayer CropScience Limited,44.722782,9.096695,1.653,14.551873906103149,5.2030721163794205
Bharat Bijlee Limited,75.29309,1.8786588,6.456,6.5689996,3.304
Black Box Limited,66.07921,17.644415,113.253,34.43,7.9229996
"The Bombay Burmah Trading Corporation, Limited",12.416291,3.1703827,32.495,14.551873906103149,5.2030721163794205
B&B Triplewall Containers Limited,43.428867,3.6111922,158.682,14.551873906103149,5.2030721163794205
BCL Industries Limited,13.818666,1.0819049,48.176,16.377,8.672
Brand Concepts Limited,71.20214,9.277847,113.403,14.551873906103149,5.2030721163794205
Bharat Dynamics Limited,181.2855,12.224082,0.103,14.551873906103149,5.2030721163794205
Beardsell Limited,19.009523,2.2186406,46.59,14.551873906103149,5.2030721163794205
Mrs. Bectors Food Specialities Limited,67.28866,8.682847,13.212,16.565001,9.397
Bedmutha Industries Limited,19.196377,5.393309,194.726,14.551873906103149,5.2030721163794205
Bharat Electronics Limited,47.323154,12.138645,0.344,27.933999999999997,8.809000000000001
BEML Limited,59.12624,6.316358,2.658,14.551873906103149,5.2030721163794205
Bhansali Engineering Polymers Limited,18.99862,3.5238512,89.8259119818285,19.336000000000002,11.135
Berger Paints India Limited,45.127163,9.261928,14.219,21.94,10.5340004
Best Agrolife Limited,40.14772,1.9554785,76.482,5.039,3.215
BF Investment Limited,4.9688907,0.3279606,89.8259119818285,7.9229996,0.36199999
BF Utilities Limited,23.816046,7.785872018563158,288.712,14.551873906103149,5.2030721163794205
Bharatiya Global Infomedia Limited,65.54656602500884,0.08310966,19.242,14.551873906103149,5.2030721163794205
BGR Energy Systems Limited,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
Bhagiradha Chemicals & Industries Limited,967.65625,7.7881737,14.864,14.551873906103149,5.2030721163794205
Bhageria Industries Limited,30.958797,1.6081896,4.852,5.167,2.2130001
Bhagyanagar India Limited,29.06006,1.5513731,120.1,5.510000000000001,-2.141
Bhandari Hosiery Exports Limited,22.59375,1.1866076,122.429,14.551873906103149,5.2030721163794205
Bharat Forge Limited,63.905556,8.436198,110.941,14.551873906103149,5.2030721163794205
Bharat Gears Limited,33.588436,1.3709946,102.5,14.551873906103149,5.2030721163794205
Bharat Rasayan Limited,27.25482,4.344972,8.146,14.551873906103149,5.2030721163794205
Bharat Wire Ropes Limited,17.327988,2.100413,17.798,12.958,9.1759995
Bharti Airtel Limited,76.7731,10.542295,204.474,12.928999999999998,5.4399999999999995
,176.8468,14.310358,163.625,25.507,5.618
Bharat Heavy Electricals Limited,189.72441,3.5231245,37.719,1.7690001,0.728
Bigbloc Construction Limited,63.416668,14.499184,131.191,14.551873906103149,5.2030721163794205
Bikaji Foods International Limited,67.26569,14.792193,16.545,24.413999999999998,14.041
Bhartiya International Ltd.,2433.7878,2.58462,132.557,14.551873906103149,5.2030721163794205
Biocon Limited,27.485403,1.9320512,62.765,7.314,1.7739999999999998
Biofil Chemicals and Pharmaceuticals Limited,182.30302,5.378632,2.411,14.551873906103149,5.2030721163794205
Birla Cable Limited,88.20816,2.4581978,56.562,2.8859999000000003,2.734
Birla Corporation Limited,31.042288,1.3860967,57.335,4.686999699999999,3.042
Aditya Birla Money Limited,19.551855,7.096579,743.508,44.346002,3.6089999999999995
,65.54656602500884,9.290378,49.473,14.551873906103149,5.2030721163794205
BEML Land Assets Limited,65.54656602500884,505.19476,365.482,14.551873906103149,5.2030721163794205
BLB Limited,9.635922,0.9783627,0.694,10.621,10.177
Bliss GVS Pharma Limited,26.64094,1.6511376,8.986,7.156999999999999,6.0599998
B.L. Kashyap and Sons Limited,28.513107,3.2354438,53.761,12.1400006,4.3999999999999995
BLS International Services Limited,47.704838,16.46003,2.122,14.551873906103149,5.2030721163794205
,42.216496,4.3149776,1.669,14.551873906103149,5.2030721163794205
Blue Chip India Limited,408.5,25.06135,89.8259119818285,-1.8259999999999998,-0.357
Blue Coast Hotels Limited,0.20929104,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
Blue Dart Express Limited,58.848343,11.706239,76.963,21.422,7.355
Blue Jet Healthcare Limited,57.976315,10.580176,0.117,19.779,11.525
Blue Star Limited,78.01634,15.115754,12.747,20.624000000000002,6.6589996
Bodal Chemicals Limited,532.23083,0.80419827,83.512,14.551873906103149,5.2030721163794205
The Bombay Dyeing and Manufacturing Company Limited,1.1568937,2.179411,0.149,14.551873906103149,5.2030721163794205
Borosil Limited,66.6308,7.950572,28.422,14.551873906103149,5.2030721163794205
Borosil Renewables Limited,65.54656602500884,9.022871,64.195,-10.567000499999999,-3.1240001
Borosil Scientific Limited,51.496914,3.9414628,4.724,14.551873906103149,5.2030721163794205
Bosch Limited,48.946014,7.9962745,0.247,17.151,6.621
Bharat Petroleum Corporation Limited,9.407745,1.600926,76.361,17.705000000000002,5.55
BPL Limited,30.778948,2.2958994,54.612,14.551873906103149,5.2030721163794205
Brigade Enterprises Limited,61.65605,7.9691973,153.745,14.551873906103149,5.2030721163794205
Britannia Industries Limited,53.264835,35.302837,85.079,69.676,19.472
Bharat Road Network Limited,65.54656602500884,2.0733972,463.995,14.551873906103149,5.2030721163794205
