Ticker,Company Name,Sector,Industry,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
PASUPTAC.NS,Pasupati Acrylon Limited,Consumer Cyclical,Textile Manufacturing,11.541353,1.1833483,29.641,0.10946,0.057690002
PATANJALI.NS,Patanjali Foods Limited,Consumer Defensive,Packaged Foods,63.59096,5.8238072,10.306,0.0945,0.06081
PATELENG.NS,Patel Engineering Limited,Industrials,Engineering & Construction,13.393315,1.2780571,60.407,,
PATINTLOG.NS,Patel Integrated Logistics Limited,Industrials,Integrated Freight & Logistics,22.55102,1.2004998,11.444,0.05604,0.023559999
PAVNAIND.NS,Pavna Industries Limited,Consumer Cyclical,Auto Parts,70.14165,7.72314,132.227,0.12557,0.058130004
PAYTM.NS,One97 Communications Limited,Technology,Software - Infrastructure,,4.229841,1.144,-0.049569998,-0.07802
PCBL.NS,PCBL Limited,Basic Materials,Specialty Chemicals,34.68278,4.5430713,128.389,0.14404,0.06763
PCJEWELLER.NS,PC Jeweller Limited,Consumer Cyclical,Luxury Goods,532.6667,0.21715498,116.967,0.00459,0.00391
PDMJEPAPER.NS,Pudumjee Paper Products Limited,Basic Materials,Paper & Paper Products,15.835955,3.680152,2.779,0.26133,0.13394
PDSL.NS,PDS Limited,Industrials,Specialty Business Services,51.226665,4.8701544,65.212,0.15063,0.05331
PEARLPOLY.NS,Pearl Polymers Limited,Consumer Cyclical,Packaging & Containers,40.948452,1.7344979,0.258,,
PEL.NS,Piramal Enterprises Limited,Financial Services,Financial Conglomerates,,0.90837187,213.771,-0.06815,-0.02252
PENIND.NS,Pennar Industries Limited,Industrials,Specialty Industrial Machinery,23.736181,2.9089172,89.516,,
PENINLAND.NS,Peninsula Land Limited,Real Estate,Real Estate - Development,6.5,5.5614104,128.72,,
PERSISTENT.NS,Persistent Systems Limited,Technology,Information Technology Services,79.79003,17.649498,10.362,0.24699,0.12177
PETRONET.NS,Petronet LNG Limited,Energy,Oil & Gas Refining & Marketing,12.908125,2.6961873,14.846,0.22327,0.119729996
PFC.NS,Power Finance Corporation Limited,Financial Services,Credit Services,7.1072702,1.3689674,635.304,0.21013,0.02718
PFIZER.NS,Pfizer Limited,Healthcare,Drug Manufacturers - General,35.807644,5.8947515,1.992,0.17593999,0.096260004
PFOCUS.NS,Prime Focus Limited,Communication Services,Entertainment,,7.8087053,626.028,,
PFS.NS,PTC India Financial Services Limited,Financial Services,Credit Services,16.370369,0.96757716,127.304,0.061100002,0.02328
PGEL.NS,PG Electroplast Limited,Technology,Electronic Components,129.36734,21.677723,39.783,0.18400998,0.087139994
PGHH.NS,Procter & Gamble Hygiene and Health Care Limited,Consumer Defensive,Household & Personal Products,71.39203,62.38589,0.397,,
PGHL.NS,Procter & Gamble Health Limited,Healthcare,Drug Manufacturers - Specialty & Generic,41.365856,16.735588,1.776,,
PGIL.NS,Pearl Global Industries Limited,Consumer Cyclical,Apparel Manufacturing,30.435947,7.7205863,72.241,,
PHOENIXLTD.NS,The Phoenix Mills Limited,Real Estate,Real Estate - Diversified,49.066113,4.4226623,35.182,0.10797,0.0624
PIDILITIND.NS,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,78.69369,17.227432,4.253,0.23136999,0.13292
PIGL.NS,Power & Instrumental (Gujarat) Limited,Industrials,Engineering & Construction,49.0,8.217016,28.641,,
PIIND.NS,PI Industries Limited,Basic Materials,Agricultural Inputs,32.459854,6.038036,1.827,0.20255,0.107700005
PILANIINVS.NS,Pilani Investment and Industries Corporation Limited,Financial Services,Asset Management,30.596054,0.41262716,6.494,,
PILITA.NS,Pil Italica Lifestyle Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",64.571434,4.8307805,20.948,0.06706,0.051230002
PIONEEREMB.NS,Pioneer Embroideries Limited,Consumer Cyclical,Textile Manufacturing,51.01575,1.3121494,75.575,,
PITTIENG.NS,Pitti Engineering Limited,Industrials,Metal Fabrication,38.216667,10.593915,148.038,,
PIXTRANS.NS,PIX Transmissions Limited,Industrials,Specialty Industrial Machinery,28.237394,6.5524716,8.936,,
PKTEA.NS,The Peria Karamalai Tea and Produce Company Limited,Consumer Defensive,Farm Products,19.583334,1.155296,10.633,0.0615,0.02528
